               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.060063,            0.043362,            0.002416,             0.77139,             0.87642,             0.85152,             0.29424,            0.027577,            0.022461,          0.00080632,           0.0098317,           0.0098317,           0.0098317
                  36,            0.063853,            0.043175,           0.0021378,             0.81957,             0.84075,             0.95157,             0.44148,            0.024714,            0.019479,           0.0007189,           0.0098268,           0.0098268,           0.0098268
                  37,            0.064827,            0.041004,           0.0032023,             0.53325,             0.62319,             0.60255,             0.17147,             0.03837,            0.016755,          0.00079903,           0.0098218,           0.0098218,           0.0098218
                  38,            0.059306,            0.043646,           0.0023822,             0.45173,             0.65631,             0.62621,              0.2186,            0.045588,            0.015295,          0.00076839,           0.0098169,           0.0098169,           0.0098169
                  39,            0.054766,            0.039234,           0.0023048,             0.54266,              0.6294,             0.65825,             0.37736,            0.042141,              0.0159,           0.0007058,           0.0098119,           0.0098119,           0.0098119
                  40,            0.067892,             0.04781,            0.002558,             0.74048,             0.95034,             0.94854,             0.41175,            0.034513,            0.019325,          0.00064231,            0.009807,            0.009807,            0.009807
                  41,            0.063493,            0.069003,           0.0025557,             0.74303,             0.95652,             0.90166,             0.45445,            0.023199,            0.019434,          0.00067585,            0.009802,            0.009802,            0.009802
                  42,            0.061647,            0.052663,           0.0025245,             0.89333,             0.93828,             0.95567,               0.354,             0.02503,            0.018035,          0.00069048,            0.009797,            0.009797,            0.009797
                  43,            0.049857,            0.046212,           0.0028425,              0.9636,              0.8913,             0.93636,             0.58561,            0.033163,            0.017069,           0.0012555,           0.0097921,           0.0097921,           0.0097921
                  44,            0.061046,            0.041453,           0.0016699,              0.6082,             0.53193,             0.60114,              0.3521,             0.05019,            0.018156,           0.0025032,           0.0097871,           0.0097871,           0.0097871
                  45,            0.071053,            0.044326,           0.0018242,             0.63746,             0.54388,             0.65518,             0.25916,             0.05057,              0.0175,           0.0026997,           0.0097822,           0.0097822,           0.0097822
                  46,            0.059584,            0.039831,           0.0031156,             0.81754,             0.76886,             0.86745,             0.46119,            0.037847,            0.016719,           0.0020233,           0.0097773,           0.0097773,           0.0097773
                  47,            0.060793,            0.042312,           0.0020495,              0.9484,             0.95448,             0.94511,             0.33902,            0.035746,             0.01306,          0.00084432,           0.0097723,           0.0097723,           0.0097723
                  48,            0.056569,             0.04819,           0.0028319,             0.98341,             0.99068,             0.99037,             0.66953,            0.023428,            0.012226,          0.00080435,           0.0097674,           0.0097674,           0.0097674
                  49,             0.05533,            0.041544,           0.0023138,             0.98713,             0.98965,             0.99488,             0.37883,            0.025357,            0.012564,          0.00073714,           0.0097624,           0.0097624,           0.0097624
                  50,            0.052586,            0.042654,            0.001798,             0.97165,             0.98591,             0.98907,             0.46202,            0.023378,             0.01247,          0.00068757,           0.0097575,           0.0097575,           0.0097575
                  51,            0.052313,            0.041977,            0.002143,             0.94029,             0.93598,               0.948,             0.36502,            0.028464,            0.012002,          0.00058941,           0.0097525,           0.0097525,           0.0097525
                  52,            0.059125,            0.041868,           0.0017507,             0.99198,             0.98398,             0.99311,             0.26814,            0.032376,            0.013926,          0.00060158,           0.0097476,           0.0097476,           0.0097476
                  53,            0.058477,            0.038852,           0.0025681,             0.99475,             0.98419,             0.99052,             0.57725,            0.020276,            0.011135,          0.00061755,           0.0097426,           0.0097426,           0.0097426
                  54,            0.050704,            0.040058,           0.0021458,             0.98582,             0.98349,             0.98552,             0.61056,            0.023495,            0.010661,          0.00062908,           0.0097377,           0.0097377,           0.0097377
                  55,            0.044972,              0.0419,           0.0022323,             0.88547,             0.88716,              0.8391,             0.19935,            0.030381,            0.013188,          0.00063723,           0.0097327,           0.0097327,           0.0097327
                  56,             0.05592,            0.041036,           0.0021548,             0.97561,             0.98447,             0.98266,             0.62807,            0.023305,            0.011666,          0.00067196,           0.0097278,           0.0097278,           0.0097278
                  57,            0.050119,            0.036816,           0.0019478,             0.97673,             0.98137,             0.98164,             0.39332,            0.029048,            0.013141,          0.00067247,           0.0097228,           0.0097228,           0.0097228
